yy;id;January;February;March;April;May;June;July;August;September;October;November;December
1995;abruzzo_1112;0;0;0;0;0.5599999999999999;5.56;14.32;14.440000000000001;2.302068965517241;0.16;0.08;0
2005;abruzzo_1112;0;0;0;0;0.5555555555555556;7.62962962962963;15.481481481481481;16.444444444444446;2.7777777777777777;0.22477650063856958;0.037037037037037035;0
1985;abruzzo_1540;0;0;0;0;0.07692307692307693;2.08;6.68;7.28;1.0799999999999998;0.16;0.08;0
1995;abruzzo_1540;0;0;0;0;0.1724137931034483;3.758620689655172;10.103448275862068;9.758620689655173;1.4137931034482758;0.20689655172413793;0.10344827586206896;0
2005;abruzzo_1540;0;0;0;0;0.15384615384615385;4.868131868131869;13;12.692307692307692;2.076923076923077;0.15384615384615385;0.07692307692307693;0
1985;abruzzo_1707;0;0;0;0;0;0.038461538461538464;0.8461538461538461;0.4230769230769231;0;0;0;0
1995;abruzzo_1707;0;0;0;0;0;0.17857142857142855;0.8620689655172413;0.3448275862068966;0;0;0;0
2005;abruzzo_1707;0;0;0;0;0;0.15384615384615385;0.7037037037037036;0.37037037037037035;0;0;0;0
2005;abruzzo_1966;0;0;0.04;0;0;1.48;5.08;4.529333333333334;0.08;0.08;0;0
1985;abruzzo_1982;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1995;abruzzo_1982;0;0;0.034482758620689655;0;1.0689655172413792;6.482758620689655;17.758620689655174;17.82758620689655;3.137931034482759;0.24137931034482757;0;0
2005;abruzzo_1982;0;0;0.034482758620689655;0;0.7586206896551724;8.793103448275861;20.068965517241377;21;3.8965517241379306;0.24137931034482757;0;0
1995;abruzzo_1999;0;0;0;0;0;0.08;0.16666666666666666;0.12;0;0;0;0
2005;abruzzo_1999;0;0;0;0;0;0.038461538461538464;0.20769230769230768;0.15384615384615385;0;0;0;0
1985;abruzzo_2135;0;0;0;0;0;0.04;0.08;0.04;0;0;0;0
1995;abruzzo_2135;0;0;0;0;0;0.03571428571428571;0.14285714285714285;0.07142857142857142;0;0;0;0
2005;abruzzo_2135;0;0;0;0;0;0;0.14285714285714285;0.07142857142857142;0;0;0;0
2005;abruzzo_2137;0;0;0;0;0.03571428571428571;3.357142857142857;10.142857142857142;10.214285714285715;0.7857142857142857;0;0;0
1995;abruzzo_2176;0;0;0;0;0.04;0.16666666666666669;0.4166666666666667;NA;NA;0;0;NA
2005;abruzzo_2176;0;0;0;0;0.037037037037037035;0.11538461538461538;0.4230769230769231;0.7733516483516483;0.11538461538461538;0;0;0
2005;abruzzo_2280;0;0;0.03571428571428571;0.03571428571428571;0.39285714285714285;4;9.454761904761904;9.607142857142858;1.286945812807882;0.10714285714285714;0;0
1985;abruzzo_606;0;0;0;0;0.6538461538461537;5.115384615384616;15.507692307692308;14.923076923076923;3.6538461538461537;0.2692307692307692;0.07692307692307693;0
1995;abruzzo_606;0;0;0.034482758620689655;0;1.3793103448275863;7.482758620689655;18.110344827586207;17.96551724137931;4.344827586206897;0.27586206896551724;0.10344827586206896;0
2005;abruzzo_606;0;0;0.034482758620689655;0;1.2758620689655173;9.793103448275861;19.689655172413794;20.79310344827586;4.758620689655172;0.1724137931034483;0.06896551724137931;0
1975;aeronautica_6686;0;0;0;0;0;0;0;0;0;0;0;0
1985;aeronautica_6686;0;0;0;0;0;0;0;0;0;0;0;0
1995;aeronautica_6686;0;0;0;0;0;0;0;0;0;0;0;0
2005;aeronautica_6686;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6690;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1985;aeronautica_6690;0;0;0;0;0.0369047619047619;0.5197956577266922;1.432142857142857;0.7215106732348112;0.07266009852216748;0;0;0
1995;aeronautica_6690;0;0;0;0;0.034444444444444444;0.9035303776683087;2.27;1.0100766283524902;0.13448275862068965;0;0;0
2005;aeronautica_6690;0;0;0;0;0.034444444444444444;1.3035303776683087;2.8699999999999997;1.576743295019157;0.20114942528735633;0;0;0
1975;aeronautica_6691;0;0;0;0;0;0;0;0;0;0;0;0
1985;aeronautica_6691;0;0;0;0;0;0;0;0;0;0;0;0
1995;aeronautica_6691;0;0;0;0;0;0;0;0;0;0;0;0
2005;aeronautica_6691;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6692;0;0;0;0;0;0;0;0;0;0;0;0
1985;aeronautica_6692;0;0;0;0;0;0;0;0;0;0;0;0
1995;aeronautica_6692;0;0;0;0;0;0;0;0;0;0;0;0
2005;aeronautica_6692;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6693;0;0;0;0;0;0;0;0;0;0;0;0
1985;aeronautica_6693;0;0;0;0;0;0;0;0;0;0;0;0
1995;aeronautica_6693;0;0;0;0;0;0;0;0;0;0;0;0
2005;aeronautica_6693;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6694;0;0;0;0;0.1425287356321839;0.4805152979066023;5.179349980182323;3.2775213675213677;0.4059113300492611;0;0;0
1985;aeronautica_6694;0;0;0;0;0.1425287356321839;0.8900787701387401;5.721469622331691;4.674889478337755;0.27257799671592775;0;0;0
1995;aeronautica_6694;0;0;0;0;0.2649389920424403;2.1347884665725743;6.8244788815909505;5.30806713401541;0.23809523809523808;0;0;0
2005;aeronautica_6694;0;0;0;0;0.12663129973474802;3.7462148962148962;7.39343843035747;7.379695505643782;0.12051529790660225;0;0;0
1975;aeronautica_6697;0;0;0;0;0;0;0;0;0;0;0;0
1985;aeronautica_6697;0;0;0;0;0;0;0;0;0;0;0;0
1995;aeronautica_6697;0;0;0;0;0;0;0;0;0;0;0;0
2005;aeronautica_6697;0;0;0;0;0;0;0.037037037037037035;0;0;0;0;0
1985;aeronautica_6700;0;0;0;0;0;0.27586206896551724;3.162926473271301;3.250574712643678;0.0713436385255648;0;0;0
1995;aeronautica_6700;0;0;0;0;0.04454022988505747;1.2384219145838335;4.456459236670166;3.6093827160493825;0.0713436385255648;0;0;0
2005;aeronautica_6700;NA;0;0;0;0.04613095238095238;2.161273425891117;5.322653806158304;NA;0.13293650793650794;0;0;NA
1975;aeronautica_6703;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1985;aeronautica_6703;0;0;0;0;0;0;NA;0;0;NA;0;0
1995;aeronautica_6703;0;0;0;0;0;0;NA;0;0;NA;0;0
2005;aeronautica_6703;0;0;0;0;0;NA;0;0;0;0;0;0
1975;aeronautica_6707;0;0;0;0;0;0.37499999999999994;2.0013888888888887;1.5833333333333333;0.04166666666666667;0;0;0
1985;aeronautica_6707;0;0;0;0;0;0.4298029556650246;2.3583333333333334;1.75;0;0;0;0
1995;aeronautica_6707;0;0;0;0;0;1.1344827586206896;3.801111111111111;1.8333333333333333;0.03333333333333333;0;0;0
2005;aeronautica_6707;0;0;0;0;0;1.667816091954023;4.866666666666666;3.2;0.03333333333333333;0;0;0
1975;aeronautica_6709;0;0;0;0;0;0.5181909045477261;2.9577777777777774;2.011587301587302;0.16904761904761906;0;0;0
1985;aeronautica_6709;0;0;0;0;0;0.4666666666666667;3.3088888888888888;3.354022988505747;0.17275132275132274;0;0;0
1995;aeronautica_6709;0;0;0;0;0.16666666666666666;1.3333333333333335;4.5377777777777775;3.993103448275862;0.23703703703703705;0;0;0
2005;aeronautica_6709;0;0;0;0;0.16666666666666666;2.1724137931034484;6;6.509195402298851;0.2715197956577267;0;0;0
1975;aeronautica_6710;0;0;0;0;0;0.33333333333333337;2.6666666666666665;1.5333333333333332;0.06666666666666667;0;0;0
1985;aeronautica_6710;0;0;0;0;0;0.26666666666666666;3.180459770114943;2.2023809523809526;0.034482758620689655;0;0;0
1995;aeronautica_6710;0;0;0;0;0;1.3761904761904762;5.305738040070874;3.5927302582475;0.17857142857142855;0;0;0
2005;aeronautica_6710;NA;0;0;0;0;2.0406926406926407;6.409956037751069;5.6505411255411255;0.15384615384615385;0;0;NA
1975;aeronautica_6711;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1985;aeronautica_6711;0;0;0;0;0;0.07142857142857142;1.7619047619047619;0.9285714285714285;0;0;0;0
1995;aeronautica_6711;0;0;0;0;0;0.6333333333333333;2.6444444444444444;1.1011111111111112;0.03333333333333333;0;0;0
2005;aeronautica_6711;0;0;0;0;0;0.9333333333333333;2.8;2.301111111111111;0.03333333333333333;0;0;0
1985;aeronautica_6717;0;0;0;0;0.03571428571428571;0.3226600985221675;3.321428571428571;3.7904761904761903;0.03571428571428571;0;0;0
1995;aeronautica_6717;0;0;0;0;0;2.101149425287356;5.607142857142857;4.737777777777778;0.20114942528735633;0;0;0
2005;aeronautica_6717;0;0;0;0;0;3.1011494252873564;7.04047619047619;7.071111111111112;0.267816091954023;0;0;0
1975;aeronautica_6718;0;0;0;0;0.041666666666666664;0.5833333333333334;5.002777777777778;2.75;0.04166666666666667;0;0;0
1985;aeronautica_6718;0;0;0;0;0.03571428571428571;0.6083743842364532;5.192857142857143;3.75;0.10714285714285715;0;0;0
1995;aeronautica_6718;0;0;0;0;0.06666666666666667;2.4344827586206894;8.044444444444444;5.475555555555555;0.33333333333333337;0;0;0
2005;aeronautica_6718;0;0;0;0;0.03333333333333333;3.9344827586206894;9.644444444444444;8.193333333333333;0.4333333333333333;0;0;0
1975;aeronautica_6720;0;0;0;0;0;0.3;2.17816091954023;1.2366666666666668;0.03333333333333333;0;0;0
1985;aeronautica_6720;0;0;0;0;0;0.06666666666666667;1.5137164750957852;1.2848148148148149;0.03333333333333333;0;0;0
1995;aeronautica_6720;0;0;0;0;0;0.5172413793103449;2.405493804821727;2.1067870826491513;0.16666666666666669;0;0;0
2005;aeronautica_6720;0;0;0;0;0;0.7389162561576355;3.3788814952129846;3.5293093879300774;0.20238095238095238;0;0;0
1975;aeronautica_6721;0;0;0;0;0;2.539080459770115;9.553571428571429;7.153333333333333;0.5184304399524375;0;0;0
1985;aeronautica_6721;0;0;0;0;0;2.482139699381079;10.089285714285715;8.351111111111111;0.3793103448275862;0;0;0
1995;aeronautica_6721;0;0;0;0;0.2333333333333333;5.115473032714411;12.889285714285716;10.86111111111111;0.9310344827586207;0;0;0
2005;aeronautica_6721;0;0;0;0;0.27586206896551724;7.0240116205633445;14.550958515451269;13.675541125541125;1.1416666666666668;0;0;0
1975;aeronautica_6723;0;0;0;0;0;0.5;3.9973563218390806;2.6766666666666663;0;0;0;0
1985;aeronautica_6723;0;0;0;0;0;0.6051282051282051;5.050927750410509;4.0184750957854405;0;0;0;0
1995;aeronautica_6723;0;0;0;0;0;2.371794871794872;8.15092775041051;5.855141762452107;0.09999999999999999;0;0;0
2005;aeronautica_6723;0;0;0;0;0;3.605128205128205;9.75357142857143;7.878475095785441;0.23333333333333334;0;0;0
